trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.003, 'e': 0.7772447380689461}",25,13,-86.86857454535007,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
86,False,"{'a': 0.003, 'e': 0.774916497961081}",25,0,-43.124051409128775,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
87,False,"{'a': 0.003, 'e': 0.772595232106928}",20,0,-51.77402018765735,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
88,False,"{'a': 0.003, 'e': 0.7702809196150792}",35,0,-96.13032190840912,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
89,False,"{'a': 0.003, 'e': 0.7679735396567061}",25,0,-54.43276506423507,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
90,False,"{'a': 0.003, 'e': 0.7656730714653739}",30,0,-177.33404698972348,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
91,False,"{'a': 0.003, 'e': 0.7633794943368531}",20,0,-8.711328080693036,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.003, 'e': 0.7610927876289343}",25,0,-20.911642655745993,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.003, 'e': 0.7588129307612413}",25,0,-166.1927517080082,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
94,False,"{'a': 0.003, 'e': 0.7565399032150474}",25,5,-34.680816113171424,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
95,False,"{'a': 0.003, 'e': 0.754273684533089}",25,4,-80.0236983603479,"{0: 13, 1: 2, 2: 3, 3: 3, 4: 0}",1
96,False,"{'a': 0.003, 'e': 0.7520142543193826}",30,0,-100.50079673313256,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.003, 'e': 0.7497615922390413}",25,0,-124.5667028683652,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
98,False,"{'a': 0.003, 'e': 0.747515678018091}",20,0,-114.70750317879096,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.003, 'e': 0.7452764914432887}",25,0,-128.70935898306436,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
100,False,"{'a': 0.003, 'e': 0.7430440123619398}",20,0,-46.1392464342846,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
101,False,"{'a': 0.003, 'e': 0.7408182206817179}",25,0,-30.639186989039906,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
102,False,"{'a': 0.003, 'e': 0.7385990963704826}",20,0,-131.20135162490274,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
103,False,"{'a': 0.003, 'e': 0.7363866194561001}",20,0,-65.55886284406928,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
104,False,"{'a': 0.003, 'e': 0.7341807700262634}",20,0,-75.77556445641605,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.003, 'e': 0.7319815282283126}",25,0,-120.4672050575795,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
106,False,"{'a': 0.003, 'e': 0.7297888742690568}",35,15,-26.63688017346642,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.003, 'e': 0.7276027884145955}",25,0,-5.1986926683961245,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.003, 'e': 0.7254232509901412}",25,19,5.432445402047513,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.003, 'e': 0.7232502423798424}",20,0,-18.046504454548014,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.003, 'e': 0.721083743026607}",20,0,-67.34538954817317,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
111,False,"{'a': 0.003, 'e': 0.7189237334319262}",25,8,-60.95282980451259,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.003, 'e': 0.716770194155699}",20,0,16.002298020089057,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.003, 'e': 0.7146231058160573}",30,0,-173.91745186371156,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
114,False,"{'a': 0.003, 'e': 0.7124824490891918}",25,0,-175.37614871455355,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
115,False,"{'a': 0.003, 'e': 0.7103482047091773}",20,0,-137.8097808991706,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
116,False,"{'a': 0.003, 'e': 0.7082203534678}",30,0,-79.42787950401815,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
117,False,"{'a': 0.003, 'e': 0.7060988762143844}",20,0,-67.31733283529901,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.003, 'e': 0.7039837538556208}",25,9,-94.89584424381614,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 1}",1
119,False,"{'a': 0.003, 'e': 0.701874967355394}",30,11,-52.29371322490115,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
120,False,"{'a': 0.003, 'e': 0.699772497734611}",30,0,-67.26527535589858,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
121,False,"{'a': 0.003, 'e': 0.697676326071031}",25,0,-105.50174410038787,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.003, 'e': 0.6955864334990951}",30,0,-127.88932329750142,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
123,False,"{'a': 0.003, 'e': 0.6935028012097558}",20,0,-53.351619053065804,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.003, 'e': 0.6914254104503085}",25,0,-186.48169122312996,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
125,False,"{'a': 0.003, 'e': 0.6893542425242224}",20,0,-75.50226692019552,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
126,False,"{'a': 0.003, 'e': 0.6872892787909722}",20,7,-5.489974905084592,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.003, 'e': 0.6852305006658703}",20,0,-118.38957483540392,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
128,False,"{'a': 0.003, 'e': 0.6831778896198997}",20,0,1.9317575964316531,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.003, 'e': 0.6811314271795471}",20,0,-29.224711903966714,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
